YearBuilt,TotRmsAbvGrd,OverallQual,GarageArea,GrLivArea,OverallCond,SalePrice
2003,8,7,548,1710,5,208500
1976,6,6,460,1262,8,181500
2001,6,7,608,1786,5,223500
1915,7,7,642,1717,5,140000
2000,9,8,836,2198,5,250000
1993,5,5,480,1362,5,143000
2004,7,8,636,1694,5,307000
1973,7,7,484,2090,6,200000
1931,8,7,468,1774,5,129900
1939,5,5,205,1077,6,118000
1965,5,5,384,1040,5,129500
2005,11,9,736,2324,5,345000
1962,4,5,352,912,6,144000
2006,7,7,840,1494,5,279500
1960,5,6,352,1253,5,157000
1929,5,7,576,854,8,132000
1970,5,6,480,1004,7,149000
1967,6,4,516,1296,5,90000
2004,6,5,576,1114,5,159000
1958,6,5,294,1339,6,139000
2005,9,8,853,2376,5,325300
1930,6,7,280,1108,7,139400
2002,7,8,534,1795,5,230000
1976,6,5,572,1060,7,129900
1968,6,5,270,1060,8,154000
2007,7,8,890,1600,5,256300
1951,5,5,576,900,7,134800
2007,7,8,772,1704,5,306000
1957,6,5,319,1600,6,207500
1927,4,4,240,520,6,68500
1920,6,4,250,1317,4,40000
1966,6,5,271,1228,6,149350
2007,7,8,484,1234,5,179900
1959,6,5,447,1700,5,165500
2005,6,9,556,1561,5,277500
2004,9,8,691,2452,5,309000
1994,6,5,672,1097,5,145000
1954,5,5,498,1297,6,153000
1953,5,5,246,1057,7,109000
1955,6,4,0,1152,5,82000
1965,6,6,440,1324,5,160000
1959,5,5,308,1328,6,170000
1983,5,5,504,884,7,144000
1975,5,5,308,938,6,130250
1959,6,5,300,1150,6,141000
2005,6,9,576,1752,5,319900
2003,6,7,670,2149,5,239686
2006,7,8,826,1656,5,249700
1920,8,4,0,1452,5,113000
1966,6,5,386,955,7,127000
1997,6,6,388,1470,6,177000
1934,6,6,528,1176,6,114500
1963,5,5,516,816,5,110000
1981,5,9,894,1842,5,385000
1955,6,5,572,1360,5,130000
1964,7,6,576,1425,5,180500
1999,7,8,480,1739,5,172500
2004,7,7,565,1720,5,196500
2006,10,10,641,2945,5,438780
1972,4,5,352,780,7,124900
2004,5,6,576,1158,5,158000
1920,6,5,288,1111,7,101000
2006,6,8,484,1370,5,202500
1921,9,7,480,1710,6,140000
1997,8,7,645,2034,5,219500
2004,9,8,852,2473,5,317000
1970,7,7,576,2207,5,180000
2003,7,7,558,1479,5,226000
1945,4,4,220,747,6,80000
1953,7,7,667,2287,4,225000
1973,8,7,516,2223,6,244000
1982,4,4,360,845,6,129500
1998,7,7,427,1718,5,185000
1954,6,5,490,1086,7,144900
1915,8,3,379,1605,6,107400
1973,5,4,297,988,5,91000
1956,4,4,283,952,7,135750
1948,6,5,240,1285,5,127000
1968,8,4,0,1768,5,136500
1910,5,5,440,1230,6,110000
1968,8,6,509,2142,6,193500
1998,5,6,405,1337,5,153500
2007,6,8,758,1563,5,245000
1960,6,5,461,1065,5,126500
1995,7,7,400,1474,5,168500
1991,9,8,462,2417,5,260000
2005,6,6,400,1560,5,174000
2009,4,6,528,1224,5,164500
1915,6,3,0,1526,2,85000
1994,5,4,0,990,5,123600
1950,4,4,420,1040,5,109900
1961,6,5,480,1235,3,98600
1921,5,5,432,964,7,163500
1910,9,6,506,2291,6,133900
1997,7,6,684,1786,5,204750
1993,6,6,420,1470,8,185000
1999,6,7,472,1588,5,214000
1965,6,4,432,960,5,94750
1920,5,5,366,835,5,83000
1959,6,4,0,1225,5,128950
1977,6,6,480,1610,7,205000
1985,7,6,476,1732,5,178000
1979,8,5,410,1535,5,118964
2009,6,7,740,1226,5,198900
1931,7,7,240,1818,4,169500
2003,9,8,648,1992,5,250000
1885,6,4,273,1047,7,100000
1948,5,5,250,789,5,115000
1919,7,5,0,1517,7,115000
1977,7,6,546,1844,6,190000
1954,7,6,325,1855,4,136900
2000,7,7,400,1430,5,180000
2007,10,7,792,2696,5,383970
1953,7,6,450,2259,5,217000
1945,9,6,180,2320,8,259500
1999,5,6,440,1458,5,176000
1962,6,5,288,1092,5,139000
2006,5,5,430,1125,5,155000
1990,11,7,594,3222,5,320000
2005,8,6,390,1456,5,163990
1969,4,6,540,988,5,180000
1939,4,4,264,1123,5,100000
1958,5,6,288,1080,7,136000
1993,5,6,530,1199,5,153900
1979,7,6,435,1586,5,181000
1935,5,6,0,754,8,84500
1976,5,6,440,958,5,128000
1930,5,5,0,840,7,87000
1966,6,6,453,1348,5,155000
1958,6,5,750,1053,7,150000
1966,8,7,487,2157,6,226000
2000,7,6,390,2054,5,244000
1959,7,5,624,1327,6,150750
2001,6,8,471,1296,5,220000
1968,7,5,440,1721,6,180000
1970,7,7,530,1682,6,174000
1967,5,5,318,1214,5,143000
1988,9,7,766,1959,5,171000
1999,7,8,660,1852,5,230000
1997,7,6,470,1764,5,231500
1971,5,4,0,864,5,115000
2005,7,7,660,1734,5,260000
1952,6,5,720,1385,4,166000
1999,6,7,577,1501,5,204000
1963,10,5,504,1728,5,125000
2004,7,6,380,1709,5,130000
1931,5,5,180,875,7,105000
2001,8,7,434,2035,5,222500
2004,6,7,0,1080,5,141000
1936,7,5,240,1344,4,115000
1975,5,5,440,969,6,122000
2007,6,8,866,1710,5,372402
1971,8,6,495,1993,5,190000
1960,4,6,564,1252,7,235000
1923,7,6,312,1200,5,125000
1924,5,6,0,1096,5,79000
1950,5,5,625,1040,7,109500
2009,8,8,680,1968,5,269500
2004,8,7,678,1947,5,254900
2005,9,7,576,2462,5,320000
1984,6,6,516,1232,6,162500
2003,10,9,726,2668,5,412500
2005,7,7,532,1541,5,220000
1956,4,4,0,882,6,103200
1926,5,6,216,1616,7,152000
1940,6,5,0,1355,7,127500
1955,7,5,303,1867,5,190000
2007,8,8,789,2161,5,325624
2004,7,7,440,1720,5,183500
1981,6,8,511,1707,6,228000
1941,7,5,660,1382,6,128500
1960,7,6,528,1656,5,215000
1987,5,7,504,1767,7,239000
1961,6,6,504,1362,5,163000
1986,7,6,616,1651,5,184000
1950,7,6,576,2158,7,243000
1988,8,6,521,2060,5,211000
1958,8,5,451,1920,5,172500
2008,9,9,1166,2234,5,501837
1923,5,5,480,968,6,100000
2000,5,6,440,1525,5,177000
1920,9,7,216,1802,6,200100
1957,7,5,252,1340,6,120000
2003,6,7,484,2082,5,200000
1908,5,5,576,1252,8,127000
1892,12,10,840,3608,9,475000
1990,6,7,497,1217,5,173000
1916,8,5,180,1656,7,135000
1979,6,5,528,1224,5,153337
2001,5,8,682,1593,5,286000
1932,10,8,440,2727,8,315000
1972,7,7,484,1479,9,184000
1999,6,7,666,1431,5,192000
2004,7,7,380,1709,5,130000
1972,5,5,352,864,7,127000
1976,7,6,440,1456,6,148500
2007,8,7,786,1726,5,311872
1918,8,8,795,3112,4,235000
1912,8,6,0,2229,6,104000
2004,7,8,856,1713,5,274900
2003,5,4,440,1121,5,140000
1977,6,6,473,1279,6,171500
1924,6,6,398,1310,6,112000
2004,3,6,420,848,5,149000
1947,5,5,240,1284,7,110000
1990,5,7,500,1442,5,180500
1962,8,5,349,1696,5,143900
1960,6,4,312,1100,5,141000
1988,7,7,454,2062,5,277000
1964,6,6,504,1092,7,145000
1925,5,5,0,864,6,98000
2009,6,6,460,1212,5,186000
2009,7,7,644,1852,5,252678
1995,5,5,576,990,5,156000
1977,6,6,299,1392,7,161750
1957,6,5,447,1236,6,134450
2004,8,7,484,1436,5,210000
1925,8,4,210,1328,4,107000
1939,8,7,431,1954,9,311500
2005,5,7,438,1248,5,167240
2006,5,7,675,1498,5,204900
2002,8,6,390,2267,5,200000
1975,6,6,434,1552,6,179900
1971,4,4,576,864,6,97000
2003,8,10,968,2392,5,386250
1971,6,5,280,1302,5,112000
1995,9,7,721,2520,5,290000
1970,5,6,280,987,6,106000
1967,5,5,336,912,5,125000
2005,7,7,430,1555,5,192500
1959,6,6,312,1194,6,148000
1995,9,8,810,2794,5,403000
1972,5,6,288,987,5,94500
1976,5,5,308,894,6,128200
2002,8,6,440,1960,5,216500
1971,5,6,264,987,3,89500
2004,6,7,494,1414,5,185500
1993,7,7,457,1744,7,194500
2007,7,8,818,1694,5,318000
1945,7,6,220,1487,4,113000
2008,7,8,750,1566,5,262500
1945,4,5,0,866,9,110500
1900,6,5,352,1440,4,79000
1980,6,6,288,1217,6,120000
1994,8,7,463,2110,5,205000
1988,6,7,604,1872,5,241500
1910,9,6,440,1928,8,137000
1954,5,6,451,1375,5,140000
2003,8,7,500,1668,5,180000
1958,7,6,389,2144,7,277000
1940,6,3,0,1306,2,76500
2006,5,8,538,1625,5,235000
2004,6,6,520,1640,5,173000
1964,7,6,309,1302,7,158000
1957,5,5,294,1314,6,145000
1999,8,7,429,2291,5,230000
2003,7,6,673,1728,5,207500
2006,8,7,660,1604,5,220000
2001,7,7,564,1792,5,231500
1956,4,5,308,882,5,97000
1962,6,6,884,1382,5,176000
2007,10,8,868,2574,5,276000
1977,6,6,492,1212,7,151000
1929,6,5,484,1316,7,130000
1925,4,5,504,764,5,73000
1981,7,6,576,1422,6,175500
1997,8,6,413,1511,5,185000
1939,8,5,240,2192,8,179500
1940,4,5,924,778,6,120500
1976,6,6,504,1113,7,148000
2006,8,8,1053,1939,5,266000
1954,5,7,439,1363,7,241500
1999,9,8,671,2270,7,290000
1958,6,6,338,1632,6,139000
1982,5,5,264,816,7,124500
1925,5,7,672,1548,7,205000
2003,7,7,573,1560,5,201000
1951,4,4,400,864,5,141000
2006,8,9,732,2121,5,415298
1977,8,7,505,2022,5,192000
1989,7,7,575,1982,6,228500
2006,5,6,572,1262,5,185000
2007,6,7,626,1314,5,207500
2008,6,8,898,1468,5,244600
1992,5,6,529,1575,5,179200
2006,5,7,528,1250,5,164700
1962,7,6,440,1734,7,159000
1971,5,4,0,858,4,88000
1967,5,5,280,900,5,122000
1915,7,6,384,1396,7,153575
2006,8,8,685,1919,5,233230
1912,9,5,0,1716,6,135900
1949,8,5,281,1716,4,131000
1977,9,7,539,2263,7,235000
1953,7,6,418,1644,5,167000
1984,6,6,588,1003,6,142500
1950,6,5,282,1558,5,152000
1997,7,7,576,1950,5,239000
1968,7,6,539,1743,6,175000
1950,6,6,300,1152,8,158500
1953,5,5,375,1336,5,157000
1998,9,8,683,2452,5,267000
2001,6,7,843,1541,5,205000
1972,5,5,552,894,7,149900
1880,10,7,870,3493,9,295000
2004,8,8,888,2000,5,305900
1990,8,7,746,2243,5,225000
1920,6,6,0,1406,7,89500
1940,4,4,539,861,5,82500
2003,8,9,708,1944,5,360000
1993,6,6,420,1501,5,165600
1948,5,6,240,972,6,132000
1939,5,5,410,1118,7,119900
1965,8,7,513,2036,5,375000
1925,6,7,546,1641,7,178000
2004,6,7,432,1432,5,188500
1980,10,7,484,2353,7,260000
2006,8,8,1025,1959,5,270000
1993,9,7,656,2646,5,260000
1980,6,7,588,1472,5,187500
2006,9,9,840,2596,5,342643
2004,10,8,872,2468,5,354000
1986,8,7,576,2730,5,301000
1955,6,3,220,1163,8,126175
1967,11,7,564,2978,7,242000
1941,5,5,360,803,6,87000
1993,6,8,473,1719,5,324000
1960,7,6,292,1383,5,145250
1916,10,6,441,2134,6,214500
1920,6,5,189,1192,5,78000
1964,10,5,352,1728,4,119000
1958,6,5,308,1056,6,139000
2003,7,8,880,1629,5,284000
2004,6,7,484,1358,5,207000
1998,7,6,472,1638,5,192000
1965,7,5,529,1786,6,228950
2005,8,9,676,1922,5,377426
2002,7,7,532,1536,5,214000
1984,8,7,440,1621,7,202500
1958,6,6,297,1215,7,155000
2002,9,8,431,1908,5,202900
1950,4,4,294,841,4,82000
1949,6,3,400,1040,4,87500
2005,6,9,564,1684,5,266000
1976,4,5,336,1112,3,85000
1939,6,6,312,1577,5,140200
1960,5,6,301,958,8,151500
1960,6,6,498,1478,5,157500
2003,6,7,474,1626,5,154000
2005,10,9,706,2728,5,437154
2007,6,9,617,1869,5,318061
1986,6,7,445,1453,5,190000
1941,5,5,200,1111,6,95000
1928,5,6,484,720,8,105900
1940,6,6,240,1595,5,140000
1995,6,6,521,1200,5,177500
1992,6,6,400,1167,6,173000
1976,6,5,528,1142,5,134000
1958,6,5,288,1352,4,130000
1998,7,8,592,1924,5,280000
1978,5,6,470,912,6,156000
1940,8,5,240,1505,5,145000
2003,7,7,672,1922,5,198500
1972,5,6,264,987,8,118000
1976,6,6,566,1574,5,190000
1920,6,5,468,1344,7,147000
1963,6,6,514,1394,5,159000
1962,6,6,296,1431,5,165000
1954,7,5,244,1268,6,132000
1959,7,5,576,1287,7,162000
2000,7,6,460,1664,5,172400
1959,7,4,680,1588,4,134432
1984,4,6,264,752,5,125000
1953,5,5,270,1319,6,123000
2003,8,7,434,1928,5,219500
1922,4,1,0,904,1,61000
1996,5,5,576,914,5,148000
2004,8,8,610,2466,5,340000
2010,8,9,834,1856,2,394432
2000,7,6,463,1800,5,179000
1924,6,5,308,1691,6,127000
2006,5,7,572,1301,5,187750
2006,8,7,639,1797,5,213500
1928,5,6,360,784,3,76000
1992,9,6,501,1953,5,240000
2004,6,8,430,1269,5,192000
1910,8,5,0,1184,3,81000
1976,6,6,352,1125,6,125000
1999,6,7,577,1479,5,191000
2007,9,10,846,2332,5,426000
1900,7,5,384,1367,8,119000
2001,7,6,560,1961,5,215000
1959,5,5,294,882,7,106500
1941,4,4,0,788,5,100000
1940,5,5,240,1034,6,109000
1956,6,5,596,1144,6,129000
1972,6,5,600,894,5,123000
1962,8,5,264,1812,5,169500
1920,6,5,338,1077,2,67000
2006,7,7,438,1550,5,241000
1996,4,8,500,1288,5,245500
2005,6,7,400,1310,5,164990
1940,4,5,240,672,8,108000
1998,10,8,420,2263,5,258000
1995,7,6,373,1572,5,168000
1976,8,4,490,1620,4,150000
1936,6,6,240,1639,5,115000
1915,8,6,308,1680,7,177000
2006,9,7,947,2172,5,280000
2007,8,8,836,2078,5,339750
1958,5,5,350,1276,3,60000
1955,5,5,572,1056,5,145000
2009,7,7,484,1478,5,222000
1927,5,5,360,1028,6,115000
1993,9,7,678,2097,5,228000
2007,6,7,396,1340,5,181134
1978,6,6,440,1400,7,149500
1918,10,6,864,2624,6,239000
1940,7,5,240,1134,6,126000
1968,6,5,304,1056,6,142000
1997,8,7,784,1344,5,206300
1977,8,6,529,1602,7,215000
1954,4,5,520,988,5,113000
1998,8,8,696,2630,5,315000
1956,6,6,297,1196,5,139000
1946,6,7,240,1389,8,135000
1989,5,7,569,1644,5,275000
1957,5,4,352,907,6,109008
2007,6,7,628,1208,5,195400
1988,6,6,576,1412,5,175000
1971,4,6,264,987,5,85400
1920,7,6,0,1198,7,79900
1971,6,5,440,1365,5,122500
1997,7,6,470,1604,5,181000
1972,3,4,0,630,7,81000
1996,6,7,550,1661,6,212000
1920,6,6,440,1118,8,116000
1926,4,6,180,904,7,119000
1913,4,5,352,694,6,90350
1920,7,6,528,1196,8,110000
2008,10,10,672,2402,5,555000
1955,8,4,0,1440,4,118000
1930,8,5,360,1573,7,162900
2006,6,7,648,1258,5,172500
1994,8,7,493,1908,5,210000
1956,7,6,480,1689,5,127500
1966,6,6,578,1888,6,190000
1998,10,7,431,1886,5,199900
1937,7,6,198,1376,6,119500
1948,6,3,308,1183,7,120000
1930,5,6,270,813,8,110000
1975,5,7,576,1533,5,280000
1996,7,6,422,1756,5,204000
2008,6,8,676,1590,5,210000
1976,8,5,560,1728,5,188000
1973,6,7,528,1242,6,175500
1916,7,5,513,1344,5,98000
1954,6,4,529,1663,6,256000
1925,7,8,228,1666,7,161000
1950,5,5,352,1203,4,110000
2009,8,8,552,1935,5,263435
1936,6,7,576,1135,9,155000
1965,5,5,360,864,5,62383
1934,6,6,240,1660,7,188700
1978,5,5,0,1040,5,124000
2004,6,7,398,1414,5,178740
1970,5,7,526,1277,5,167000
1942,7,5,312,1644,7,146500
2006,7,8,866,1634,5,250000
1993,7,6,506,1710,5,187000
1985,4,8,528,1502,5,212000
1977,8,7,534,1969,6,190000
2005,5,6,525,1072,5,148000
2006,7,8,908,1976,5,440000
2000,6,8,499,1652,5,251000
1963,5,5,624,970,6,132500
1997,7,6,508,1493,5,208900
2006,9,9,694,2643,5,380000
2007,7,8,826,1718,5,297000
1937,7,4,672,1131,7,89471
2004,8,9,772,1850,5,326000
2003,6,9,874,1792,5,374000
1915,7,7,164,1826,8,155000
1998,5,6,402,1216,5,164000
1962,6,5,264,999,7,132500
1950,5,5,264,1113,7,147000
1965,6,5,515,1073,7,156000
1971,7,5,487,1484,6,175000
1900,10,5,520,2414,4,160000
1970,3,4,286,630,8,86000
1976,4,5,336,1304,6,115000
1941,5,6,240,1578,7,133000
2006,8,6,429,1456,5,172785
1960,6,5,308,1269,6,155000
1938,4,5,273,886,8,91300
1920,4,4,0,720,5,34900
1992,10,8,546,3228,5,430000
1925,8,7,240,1820,6,184000
1967,5,5,288,899,7,130000
1958,5,5,297,912,7,120000
1973,7,6,264,1218,5,113000
2005,7,7,603,1768,5,226700
1965,6,5,461,1214,7,140000
1959,6,7,484,1801,8,289000
1974,6,6,440,1322,5,147000
1952,10,5,400,1960,5,124500
1993,8,8,471,1911,5,215000
2009,4,6,676,1218,5,208300
1928,7,7,360,1378,9,161000
1959,6,5,270,1041,6,124500
1951,6,5,288,1363,7,164900
2005,6,7,474,1368,5,202665
1958,5,5,624,864,5,129900
1983,5,6,484,1080,5,134000
1926,5,5,200,789,5,96500
2009,9,10,900,2020,5,402861
1972,7,6,583,2119,6,158000
1996,7,7,889,2344,5,265000
1998,7,6,546,1796,5,211000
1926,9,7,282,2080,9,234000
1900,7,4,0,1294,7,106250
1957,6,6,336,1244,6,150000
1947,7,6,420,1664,7,159000
2007,11,10,884,4676,5,184750
1996,8,7,834,2398,5,315750
2005,6,7,453,1266,5,176000
1956,4,5,252,928,7,132000
2008,11,9,858,2713,5,446261
1920,5,4,0,605,7,86000
1957,9,6,484,2515,3,200624
1988,5,6,600,1509,5,175000
1920,6,6,502,1362,8,128000
1955,5,5,392,827,7,107500
1946,2,1,0,334,3,39300
2004,6,8,403,1414,5,178000
1910,5,5,0,1347,7,107500
1998,8,7,527,1724,5,188000
1972,5,4,576,864,5,111250
1968,7,5,336,1159,5,158000
2001,6,8,670,1601,5,272000
2006,8,9,765,1838,5,315000
2000,8,8,648,2285,5,248000
1998,7,7,583,1680,5,213250
1998,4,7,367,767,5,133000
2006,7,7,426,1496,5,179665
1988,9,7,786,2183,5,229000
1923,6,6,440,1635,7,210000
1970,5,5,624,768,7,129500
1955,4,5,720,825,7,125000
2003,8,7,615,2094,5,263000
1977,4,6,440,1069,6,140000
1957,5,5,288,928,6,112500
2006,7,8,908,1717,5,255500
1949,5,4,520,1126,5,108000
2003,8,7,871,2046,5,284000
1922,5,5,280,1048,6,113000
1957,6,5,299,1092,5,141000
1920,7,4,570,1336,6,108000
1996,6,7,406,1446,5,175000
2003,7,7,420,1557,5,234000
1957,5,5,528,1392,6,121500
1974,6,5,418,1389,5,170000
1940,6,5,0,996,6,108000
1918,8,6,396,1674,7,185000
1992,9,7,590,2295,5,268000
1915,6,6,216,1647,4,128000
2005,11,9,656,2504,5,325000
2004,7,7,532,1535,5,214000
1983,5,8,612,2132,8,316600
1979,4,5,600,943,5,135960
1965,10,5,576,1728,5,142600
1959,4,6,288,864,6,120000
2009,6,7,650,1692,5,224500
2000,8,7,400,1430,5,170000
1971,5,5,288,1109,7,139000
1947,6,5,336,1216,5,118500
1928,6,7,216,1477,7,145000
1966,6,5,564,1320,6,164500
2007,5,7,540,1392,5,146000
1954,7,5,352,1795,5,131500
1960,7,6,572,1429,6,181900
2008,8,8,1390,2042,5,253293
1990,5,6,0,816,5,118500
1893,9,10,880,2775,9,325000
1935,6,4,240,1573,7,133000
2005,7,8,880,2028,5,369900
1918,5,6,275,838,7,130000
1982,4,5,528,860,6,137000
1968,5,5,452,1473,8,143000
1930,4,5,308,935,6,79500
2004,6,7,520,1582,5,185900
2008,10,10,842,2296,5,451950
1982,4,5,816,816,8,138000
2003,4,6,420,848,5,140000
1975,5,5,280,924,6,110000
2005,7,8,758,1826,5,319000
1910,7,6,216,1368,7,114504
2006,7,7,648,1402,5,194201
1977,7,5,621,1647,6,217500
1980,6,6,452,1556,6,151000
2005,8,8,736,1904,5,275000
1937,6,6,544,1375,6,141000
1992,8,8,506,1915,5,220000
2004,4,7,480,1200,5,151000
2002,6,7,530,1494,5,221000
1965,7,7,486,1986,6,205000
1996,6,5,576,1040,5,152000
1948,8,5,230,2008,8,225000
1934,10,8,380,3194,6,359100
1961,5,4,261,1029,5,118500
2000,8,9,736,2153,5,313000
1978,6,6,564,1032,6,148000
2001,7,8,531,1872,5,261500
2007,6,5,0,1120,5,147000
1972,3,4,0,630,6,75500
1963,6,6,480,1054,7,137500
2002,7,6,393,1509,5,183200
1954,4,6,528,832,6,105500
2007,9,9,774,1828,5,314813
2003,10,8,749,2262,5,305000
1914,5,3,0,864,3,67000
1974,9,6,624,2614,7,240000
1977,6,5,484,980,6,135000
2000,4,6,440,1512,5,168500
1972,8,6,484,1790,5,165150
1962,5,6,440,1116,6,160000
1960,6,5,286,1422,5,139900
1955,7,6,364,1520,6,153000
1969,9,5,504,2080,5,135000
1964,6,6,520,1350,5,168500
1880,8,5,240,1750,6,124000
2006,6,8,627,1554,5,209500
1977,6,7,544,1411,5,82500
1954,6,5,260,1056,7,139400
1980,4,6,576,1056,5,144000
1914,14,6,0,3395,7,200000
1936,4,2,0,800,3,60000
1954,7,5,256,1387,4,93000
1910,4,5,0,796,7,85000
2006,7,8,648,1567,5,264561
2003,6,8,588,1518,5,274000
2001,7,7,650,1929,5,226000
1972,9,8,538,2704,7,345000
1969,7,5,462,1620,5,152000
2009,7,9,478,1766,5,370878
1971,5,6,576,981,5,143250
1950,7,5,420,1048,5,98300
1953,5,6,495,1094,5,155000
1966,7,6,442,1839,5,155000
1970,3,4,0,630,6,84500
2007,7,7,562,1665,6,205950
1940,7,4,296,1510,5,108000
1996,7,7,512,1716,5,191000
1906,7,6,216,1469,7,135000
1995,7,8,839,2113,6,350000
1971,6,6,264,1092,5,88000
1959,5,5,312,1053,7,145500
1931,6,7,270,1502,6,149000
1948,6,6,330,1458,5,97500
1964,7,5,480,1486,7,167000
1976,7,7,550,1935,7,197900
1994,8,8,711,2448,7,402000
1968,5,6,576,1392,3,110000
1972,6,4,588,1181,5,137500
2005,8,8,1134,2097,5,423000
2000,7,8,504,1936,5,230500
1965,7,6,596,2380,5,129000
1994,7,6,575,1679,5,193500
1956,6,5,576,1437,6,168000
1922,5,4,252,1180,5,137500
2005,7,6,540,1476,5,173500
1925,6,6,300,1369,6,103600
1977,6,6,546,1208,6,165000
1957,7,6,416,1839,7,257500
1965,5,6,384,1136,6,140000
1978,7,6,440,1441,6,148500
1900,8,4,779,1774,2,87000
1924,5,5,240,792,8,109500
2008,7,8,834,2046,5,372500
1961,5,5,572,988,5,128500
1980,5,6,264,923,5,143000
1932,6,5,281,1520,5,159434
1996,6,6,431,1291,5,173000
2002,7,9,702,1668,5,285000
1998,7,7,486,1839,5,221000
1984,6,7,577,2090,5,207500
2007,7,7,578,1761,6,227875
2004,4,7,480,1102,5,148800
2007,7,8,567,1419,6,392000
2005,6,6,460,1362,5,194700
2004,3,6,420,848,5,141000
1994,10,10,832,4316,6,755000
1989,9,7,628,2519,5,335000
1921,4,5,326,1073,6,108480
1936,5,5,576,1539,6,141500
1987,5,6,551,1137,6,176000
1921,4,5,205,616,7,89000
1952,6,5,308,1148,7,123500
1965,5,5,336,894,8,138500
2004,5,7,530,1391,5,196000
2002,7,8,765,1800,5,312500
1969,6,7,528,1164,5,140000
2006,10,8,666,2576,5,361919
1900,8,5,672,1812,9,140000
2004,7,7,606,1484,5,213000
1930,7,4,0,1092,5,55000
1971,5,7,739,1824,5,302000
2006,6,8,550,1324,5,254000
2007,8,7,400,1456,5,179540
1966,6,5,408,904,7,109900
1935,5,3,0,729,6,52000
1900,7,4,384,1178,7,102776
1988,5,8,472,1228,5,189000
1970,6,4,576,960,5,129000
1976,6,6,475,1479,8,130500
1974,7,6,478,1350,5,165000
1890,8,7,704,2554,8,159500
1973,5,5,439,1178,6,157000
1993,9,7,983,2418,5,341000
1969,5,5,300,971,6,128500
1985,5,8,564,1742,5,275000
2004,3,6,420,848,5,143000
1970,5,4,463,864,7,124500
1954,7,4,548,1470,6,135000
2007,8,9,768,1698,5,320000
1970,5,4,660,864,6,120500
1988,5,6,540,1680,9,222000
2007,6,7,632,1232,5,194500
1958,9,5,888,1776,5,110000
